Real Time Clock Latency: 27
Cache miss: 186 (213 - 27)  Cache hit: 6 (33 - 27)
Instruction mul: 6 (33 - 27)
Instruction div: 12 (39 - 27)
Instruction float mul: 18 (45 - 27)
Instruction float div: 27 (54 - 27)
2 layer empty loops (8388608 * 1): 49747992 (49748019 - 27)
2 layer empty loops (4194304 * 2): 29968926 (29968953 - 27)
2 layer empty loops (2097152 * 4): 26305458 (26305485 - 27)
2 layer empty loops (1048576 * 8): 26811285 (26811312 - 27)
2 layer empty loops (524288 * 16): 30047553 (30047580 - 27)
2 layer empty loops (262144 * 32): 49940469 (49940496 - 27)
2 layer empty loops (131072 * 64): 48731631 (48731658 - 27)
2 layer empty loops (1M * 8): 26661597 (26661624 - 27)
2 layer empty loops (8 * 1M): 41074119 (41074146 - 27)
2 layer maccess loops (1M * 8): 61264542 (61264569 - 27)
2 layer maccess loops (8 * 1M): 97182510 (97182537 - 27)
3 layer empty loops (1M * 64 * 8): 460473606 (460473633 - 27)
3 layer empty loops (8 * 64 * 1M): 690272451 (690272478 - 27)
3 layer maccess loops (1M * 64 * 8): 945598269 (945598296 - 27)
3 layer maccess loops (8 * 64 * 1M): 1556611188 (1556611215 - 27)
round, BYTE, SHORT, LONG, LONGLONG
51,      8.401, 6855, 816
52,      8.394, 6984, 832
53,      8.392, 7116, 848
54,      8.399, 7257, 864
55,      8.400, 7392, 880
56,      8.397, 7524, 896
57,      8.391, 7653, 912
58,      8.402, 7797, 928
59,      8.778, 8286, 944
60,      8.400, 8064, 960
61,      8.696, 8487, 976
62,      9.079, 9006, 992
63,      9.071, 9144, 1008
64,      8.698, 8907, 1024

Measure L1 cache associative ways for window: 4096
step, latency, clocks, rounds
1,       2.813, 45, 16
2,       2.531, 81, 32
3,       3.125, 150, 48
4,       3.141, 201, 64
5,       3.263, 261, 80
6,       3.250, 312, 96
7,       3.241, 363, 112
8,       3.375, 432, 128
9,       8.604, 1239, 144
10,      9.169, 1467, 160
11,      9.188, 1617, 176
12,      9.188, 1764, 192
13,      9.216, 1917, 208
14,      9.576, 2145, 224
15,      9.575, 2298, 240
16,      9.586, 2454, 256
17,      9.585, 2607, 272
18,      9.219, 2655, 288
19,      8.368, 2544, 304
20,      8.662, 2772, 320
21,      9.045, 3039, 336
22,      8.659, 3048, 352
23,      9.253, 3405, 368
24,      9.602, 3687, 384
25,      10.185, 4074, 400
26,      8.365, 3480, 416
27,      8.736, 3774, 432
28,      8.732, 3912, 448
29,      8.741, 4056, 464
30,      8.375, 4020, 480
31,      8.685, 4308, 496
32,      8.689, 4449, 512
33,      9.057, 4782, 528
34,      9.066, 4932, 544
35,      8.695, 4869, 560
36,      8.698, 5010, 576
37,      8.686, 5142, 592
38,      9.227, 5610, 608
39,      8.394, 5238, 624
40,      8.386, 5367, 640
41,      8.396, 5508, 656
42,      8.393, 5640, 672
43,      8.769, 6033, 688
44,      8.391, 5907, 704
45,      8.396, 6045, 720
46,      8.389, 6174, 736
47,      8.402, 6318, 752
48,      8.980, 6897, 768
49,      8.633, 6768, 784
50,      8.771, 7017, 800
51,      8.654, 7062, 816
52,      8.719, 7254, 832
53,      8.621, 7311, 848
54,      8.063, 6966, 864
55,      8.349, 7347, 880
56,      8.056, 7218, 896
57,      8.253, 7527, 912
58,      8.399, 7794, 928
59,      8.418, 7947, 944
60,      8.534, 8193, 960
61,      8.548, 8343, 976
62,      8.882, 8811, 992
63,      7.758, 7820, 1008
64,      7.771, 7958, 1024

Measure L1 cache associative ways for window: 8192
step, latency, clocks, rounds
1,       1.813, 29, 16
2,       1.844, 59, 32
3,       1.958, 94, 48
4,       2.063, 132, 64
5,       2.188, 175, 80
6,       2.229, 214, 96
7,       3.268, 366, 112
8,       3.352, 429, 128
9,       7.833, 1128, 144
10,      8.287, 1326, 160
11,      8.659, 1524, 176
12,      9.547, 1833, 192
13,      9.202, 1914, 208
14,      9.563, 2142, 224
15,      9.213, 2211, 240
16,      9.211, 2358, 256
17,      9.210, 2505, 272
18,      9.208, 2652, 288
19,      9.227, 2805, 304
20,      9.206, 2946, 320
21,      8.357, 2808, 336
22,      9.051, 3186, 352
23,      8.682, 3195, 368
24,      9.219, 3540, 384
25,      9.240, 3696, 400
26,      8.380, 3486, 416
27,      8.618, 3723, 432
28,      9.482, 4248, 448
29,      8.386, 3891, 464
30,      8.425, 4044, 480
31,      8.794, 4362, 496
