Real Time Clock Latency: 27
Cache miss: 6 (33 - 27)  Cache hit: 0 (27 - 27)
Instruction mul: 3 (30 - 27)
Instruction div: 9 (36 - 27)
Instruction float mul: 12 (39 - 27)
Instruction float div: 21 (48 - 27)
2 layer empty loops (8388608 * 1): 49580814 (49580841 - 27)
2 layer empty loops (4194304 * 2): 29797443 (29797470 - 27)
2 layer empty loops (2097152 * 4): 26246457 (26246484 - 27)
2 layer empty loops (1048576 * 8): 26641935 (26641962 - 27)
2 layer empty loops (524288 * 16): 30044571 (30044598 - 27)
2 layer empty loops (262144 * 32): 49739703 (49739730 - 27)
2 layer empty loops (131072 * 64): 48790404 (48790431 - 27)
2 layer empty loops (1M * 8): 26756205 (26756232 - 27)
2 layer empty loops (8 * 1M): 42008811 (42008838 - 27)
2 layer maccess loops (1M * 8): 247602639 (247602666 - 27)
2 layer maccess loops (8 * 1M): 177170256 (177170283 - 27)
3 layer empty loops (1M * 64 * 8): 460527852 (460527879 - 27)
3 layer empty loops (8 * 64 * 1M): 692181321 (692181348 - 27)
3 layer maccess loops (1M * 64 * 8): 1142919339 (1142919366 - 27)
3 layer maccess loops (8 * 64 * 1M): 2807142510 (2807142537 - 27)
round, BYTE, SHORT, LONG, LONGLONG
0, 189, 195, 192, 198
1, 30, 30, 30, 30
step, latency, clocks, rounds
55,      107.843, 94902, 880
56,      111.291, 99717, 896
57,      110.306, 100599, 912
58,      113.893, 105693, 928
59,      112.783, 106467, 944
60,      111.691, 107223, 960
61,      111.974, 109287, 976
62,      110.936, 110049, 992
63,      110.348, 111231, 1008
64,      112.600, 115302, 1024

Measure L1 cache associative ways for window: 2097152
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       2.906, 93, 32
3,       2.500, 120, 48
4,       2.625, 168, 64
5,       15.713, 1257, 80
6,       17.406, 1671, 96
7,       17.705, 1983, 112
8,       17.789, 2277, 128
9,       28.542, 4110, 144
10,      29.475, 4716, 160
11,      30.136, 5304, 176
12,      50.719, 9738, 192
13,      52.284, 10875, 208
14,      52.741, 11814, 224
15,      49.725, 11934, 240
16,      50.027, 12807, 256
17,      51.121, 13905, 272
18,      51.396, 14802, 288
19,      50.941, 15486, 304
20,      51.712, 16548, 320
21,      52.241, 17553, 336
22,      52.560, 18501, 352
23,      53.372, 19641, 368
24,      51.820, 19899, 384
25,      53.085, 21234, 400
26,      52.514, 21846, 416
27,      52.590, 22719, 432
28,      52.654, 23589, 448
29,      52.726, 24465, 464
30,      53.781, 25815, 480
31,      54.308, 26937, 496
32,      53.514, 27399, 512
33,      54.665, 28863, 528
34,      54.871, 29850, 544
35,      54.541, 30543, 560
36,      54.656, 31482, 576
37,      55.480, 32844, 592
38,      56.038, 34071, 608
39,      59.034, 36837, 624
40,      55.205, 35331, 640
41,      59.177, 38820, 656
42,      56.295, 37830, 672
43,      56.468, 38850, 688
44,      56.915, 40068, 704
45,      56.396, 40605, 720
46,      56.552, 41622, 736
47,      56.677, 42621, 752
48,      56.984, 43764, 768
49,      74.024, 58035, 784
50,      72.266, 57813, 800
51,      93.846, 76578, 816
52,      94.313, 78468, 832
53,      93.170, 79008, 848
54,      91.785, 79302, 864
55,      90.303, 79467, 880
56,      104.712, 93822, 896
57,      109.681, 100029, 912
58,      129.786, 120441, 928
59,      136.761, 129102, 944
60,      137.444, 131946, 960
61,      166.091, 162105, 976
62,      164.186, 162873, 992
63,      163.137, 164442, 1008
64,      169.608, 173679, 1024

Measure L1 cache associative ways for window: 4194304
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       3.000, 96, 32
3,       3.063, 147, 48
4,       3.281, 210, 64
5,       16.988, 1359, 80
6,       17.438, 1674, 96
7,       16.313, 1827, 112
8,       16.430, 2103, 128
9,       26.563, 3825, 144
10,      28.106, 4497, 160
11,      50.148, 8826, 176
12,      50.484, 9693, 192
13,      51.087, 10626, 208
14,      51.335, 11499, 224
15,      51.525, 12366, 240
16,      52.711, 13494, 256
17,      52.103, 14172, 272
18,      52.958, 15252, 288
19,      56.072, 17046, 304
20,      56.897, 18207, 320
21,      53.321, 17916, 336
22,      53.420, 18804, 352
23,      56.731, 20877, 368
24,      54.234, 20826, 384
25,      84.630, 33852, 400
26,      125.892, 52371, 416
27,      114.132, 49305, 432
28,      118.533, 53103, 448
29,      134.683, 62493, 464
30,      148.063, 71070, 480
31,      201.121, 99756, 496
32,      207.979, 106485, 512

Measure L1 cache associative ways for window: 8388608
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       2.531, 81, 32
3,       3.125, 150, 48
4,       3.141, 201, 64
5,       15.713, 1257, 80
6,       17.406, 1671, 96
7,       17.679, 1980, 112
8,       17.766, 2274, 128
9,       30.354, 4371, 144
10,      54.619, 8739, 160
11,      57.528, 10125, 176
12,      53.141, 10203, 192
13,      53.236, 11073, 208
14,      53.317, 11943, 224
15,      59.188, 14205, 240
16,      56.473, 14457, 256
ways, 1K, 2K, 4K, 8K, 16K, 32K, 64K, 128K, 256K, 512K, 1M, 2M, 4M, 8M
1, 3.375, 3.188, 3.375, 3.000, 3.188, 2.625, 3.188, 3.188, 3.000, 3.375, 3.375, 3.375, 3.375, 3.188
2, 3.094, 3.188, 3.094, 2.344, 3.188, 3.000, 2.344, 2.906, 3.094, 3.000, 2.344, 2.906, 3.000, 2.531
3, 3.063, 3.063, 3.063, 3.188, 2.563, 3.063, 3.125, 2.563, 2.625, 3.063, 2.500, 2.500, 3.063, 3.125
4, 3.234, 3.188, 3.141, 3.141, 3.141, 3.141, 2.719, 2.719, 2.625, 2.719, 3.234, 2.625, 3.281, 3.141
5, 3.188, 3.188, 3.263, 3.263, 3.188, 2.737, 9.075, 8.175, 8.137, 16.650, 15.412, 15.713, 16.988, 15.713
6, 3.250, 3.250, 3.250, 3.188, 3.188, 2.656, 8.219, 8.219, 8.219, 16.781, 15.531, 17.406, 17.438, 17.406
7, 3.295, 3.268, 3.295, 3.241, 3.268, 2.759, 8.250, 8.250, 8.250, 17.170, 15.830, 17.705, 16.313, 17.679
8, 3.234, 3.281, 3.633, 3.656, 3.656, 3.117, 9.516, 8.625, 8.602, 17.063, 17.227, 17.789, 16.430, 17.766
9, 3.250, 3.292, 8.813, 9.167, 9.500, 11.604, 13.854, 13.875, 17.917, 22.708, 22.875, 28.542, 26.563, 30.354
10, 3.263, 3.300, 9.169, 9.169, 9.206, 13.894, 26.175, 26.887, 22.800, 22.781, 22.894, 29.475, 28.106, 54.619
11, 3.273, 3.290, 9.222, 9.170, 9.188, 25.585, 27.222, 26.864, 30.648, 22.756, 22.926, 30.136, 50.148, 57.528
12, 3.328, 3.297, 9.188, 9.188, 9.234, 24.078, 27.172, 27.188, 31.469, 29.188, 21.266, 50.719, 50.484, 53.141
13, 3.303, 3.332, 9.216, 9.216, 9.216, 24.173, 27.303, 25.356, 31.284, 28.543, 22.990, 52.284, 51.087, 53.236
14, 3.295, 3.268, 9.576, 9.214, 9.201, 24.348, 27.375, 25.473, 31.781, 30.656, 23.009, 52.741, 51.335, 53.317
15, 3.313, 3.513, 9.200, 9.200, 9.213, 24.488, 27.475, 25.550, 34.288, 32.663, 23.063, 49.725, 51.525, 59.188
16, 3.281, 3.504, 9.199, 9.211, 9.586, 24.609, 27.539, 25.477, 32.027, 30.633, 23.051, 50.027, 52.711, 56.473
17, 3.331, 6.452, 9.585, 9.585, 10.952, 26.625, 27.618, 27.000, 31.412, 29.989, 25.831, 51.121, 52.103
18, 3.323, 9.167, 9.208, 9.208, 12.500, 26.604, 27.656, 28.885, 31.521, 30.292, 34.250, 51.396, 52.958
19, 3.306, 9.217, 9.217, 9.602, 13.855, 24.957, 25.786, 30.651, 31.648, 30.474, 33.020, 50.941, 56.072
20, 3.431, 9.206, 9.206, 9.609, 15.113, 24.844, 27.759, 32.409, 34.041, 30.525, 32.541, 51.712, 56.897
21, 3.455, 9.232, 9.232, 9.232, 19.259, 25.125, 27.813, 34.732, 31.768, 30.143, 35.777, 52.241, 53.321
22, 3.426, 9.230, 9.222, 8.736, 24.281, 25.099, 27.852, 34.798, 31.909, 30.366, 33.656, 52.560, 53.420
23, 3.440, 9.603, 9.236, 8.364, 26.242, 26.984, 25.769, 32.478, 31.957, 32.641, 44.111, 53.372, 56.731
24, 3.430, 9.227, 9.227, 8.742, 26.344, 27.039, 25.961, 34.938, 32.047, 30.594, 50.016, 51.820, 54.234
25, 3.442, 9.225, 9.607, 8.752, 24.495, 29.258, 27.795, 32.580, 31.582, 30.255, 50.340, 53.085, 84.630
26, 3.425, 9.231, 9.231, 8.365, 24.642, 27.094, 27.966, 32.639, 31.666, 30.425, 50.358, 52.514, 125.892
27, 3.431, 9.222, 9.243, 8.743, 24.722, 27.069, 26.056, 32.660, 31.750, 30.465, 50.653, 52.590, 114.132
28, 3.422, 9.241, 9.234, 8.371, 24.783, 27.114, 27.871, 32.692, 31.734, 30.589, 50.665, 52.654, 118.533
29, 3.530, 9.239, 9.233, 8.386, 24.873, 27.175, 27.912, 35.108, 31.869, 30.349, 50.922, 52.726, 134.683
30, 3.513, 9.225, 9.225, 9.269, 24.925, 25.313, 25.981, 35.169, 31.931, 30.387, 51.163, 53.781, 148.063
31, 3.526, 9.236, 9.236, 9.266, 24.974, 25.373, 27.950, 32.788, 31.972, 30.508, 51.278, 54.308, 201.121
32, 3.516, 9.246, 9.240, 9.656, 25.031, 25.418, 27.984, 32.777, 34.342, 30.633, 51.381, 53.514, 207.979
33, 5.045, 9.233, 9.244, 9.574, 25.074, 25.369, 26.778, 32.438, 34.028, 31.517, 51.483, 54.665
34, 6.557, 9.243, 9.248, 10.059, 25.075, 25.362, 27.640, 32.493, 31.754, 33.193, 51.574, 54.871
35, 8.073, 9.236, 9.632, 10.811, 25.179, 25.452, 30.825, 32.539, 34.120, 34.693, 51.755, 54.541
36, 9.224, 9.641, 9.641, 11.677, 25.167, 25.438, 29.688, 32.542, 34.146, 36.026, 51.849, 54.656
37, 9.248, 9.233, 8.767, 12.299, 25.145, 25.465, 30.573, 32.605, 34.231, 35.995, 51.912, 55.480
38, 9.217, 9.232, 8.388, 12.770, 25.298, 25.500, 31.436, 32.635, 34.268, 36.163, 52.076, 56.038
39, 9.255, 9.250, 8.385, 13.380, 25.240, 25.538, 32.264, 32.702, 34.322, 36.236, 52.043, 59.034
40, 9.248, 9.248, 8.395, 14.105, 25.369, 25.556, 32.986, 32.747, 34.331, 53.461, 52.073, 55.205
41, 9.252, 9.247, 8.771, 16.838, 25.303, 25.591, 32.995, 32.753, 31.802, 53.922, 52.248, 59.177
42, 9.228, 9.250, 8.759, 19.094, 25.353, 25.612, 33.031, 32.799, 31.830, 54.969, 52.295, 56.295
43, 9.257, 9.235, 8.394, 23.333, 25.378, 27.480, 33.022, 32.743, 31.858, 74.760, 52.360, 56.468
44, 9.243, 9.239, 8.399, 25.653, 25.411, 25.589, 33.026, 32.749, 31.913, 83.284, 69.558, 56.915
45, 9.250, 9.250, 8.758, 24.279, 25.417, 25.596, 33.058, 32.779, 34.258, 94.721, 67.821, 56.396
46, 9.249, 9.249, 8.393, 24.192, 25.467, 25.626, 33.065, 32.817, 31.981, 90.024, 88.655, 56.552
47, 9.247, 9.235, 8.398, 24.311, 25.476, 25.640, 35.465, 32.856, 32.003, 108.056, 91.073, 56.677
48, 9.242, 9.238, 8.398, 24.262, 25.512, 25.660, 33.074, 32.855, 45.141, 115.160, 103.637, 56.984
49, 9.245, 9.245, 8.403, 24.318, 25.531, 25.684, 33.073, 32.610, 47.510, 113.216, 101.724, 74.024
50, 9.240, 9.251, 8.396, 24.371, 25.560, 25.703, 33.105, 32.655, 70.365, 109.763, 109.354, 72.266
51, 9.243, 9.243, 8.408, 24.408, 25.581, 25.732, 33.081, 32.658, 77.074, 116.191, 108.978, 93.846
52, 9.249, 9.245, 8.401, 24.447, 25.597, 25.745, 33.097, 32.654, 90.234, 115.367, 107.993, 94.313
53, 9.255, 9.244, 8.774, 24.485, 25.613, 25.769, 45.647, 32.717, 107.522, 113.363, 102.732, 93.170
54, 9.250, 9.253, 8.611, 24.528, 25.639, 25.781, 45.420, 32.729, 110.038, 114.080, 106.448, 91.785
55, 9.256, 9.252, 8.400, 24.563, 25.653, 25.725, 45.852, 35.114, 119.134, 119.925, 107.843, 90.303
56, 9.392, 9.244, 8.411, 24.606, 25.667, 25.724, 45.760, 32.735, 128.448, 118.306, 111.291, 104.712
57, 9.250, 9.247, 8.618, 24.641, 25.694, 25.753, 60.967, 32.799, 126.845, 117.063, 110.306, 109.681
58, 9.246, 9.239, 8.593, 24.682, 25.707, 25.772, 66.883, 32.838, 127.707, 120.168, 113.893, 129.786
59, 9.248, 9.251, 8.422, 24.709, 25.719, 25.773, 71.517, 47.813, 131.015, 122.234, 112.783, 136.761
60, 9.241, 9.247, 8.656, 24.738, 25.734, 25.738, 70.153, 44.941, 132.184, 121.472, 111.691, 137.444
61, 9.227, 9.252, 8.619, 26.647, 25.755, 25.755, 70.254, 44.158, 131.576, 121.057, 111.974, 166.091
62, 9.236, 9.248, 8.422, 24.744, 25.766, 25.769, 79.554, 63.097, 130.669, 122.038, 110.936, 164.186
63, 9.241, 9.253, 8.521, 24.827, 25.786, 25.789, 78.295, 65.634, 130.985, 125.107, 110.348, 163.137
64, 9.240, 9.636, 8.707, 24.858, 25.808, 25.805, 76.986, 76.011, 134.048, 125.590, 112.600, 169.608

Branch prediction penality: 0 -> 64:
 57, 54, 30, 30, 30, 30, 30, 30, 36, 33, 30, 30, 33, 30, 30, 30, 57, 54, 33, 30, 30, 33, 30, 30, 30, 33, 30, 33, 30, 33, 30, 30, 57, 57, 30, 54, 30, 30, 33, 30, 30, 30, 36, 30, 30, 27, 30, 30, 54, 30, 51, 27, 27, 30, 33, 27, 30, 30, 30, 30, 30, 27, 30, 30, 54,

Branch prediction penality: 16 -> 80:
 27, 30, 30, 30, 33, 27, 30, 33, 27, 30, 27, 33, 30, 27, 30, 30, 54, 54, 27, 27, 30, 30, 27, 27, 30, 27, 30, 33, 27, 33, 27, 33, 51, 51, 33, 27, 27, 33, 27, 30, 27, 54, 27, 30, 27, 30, 30, 27, 51, 27, 51, 51, 27, 30, 27, 30, 30, 27, 30, 27, 27, 30, 27, 30, 30,

Branch prediction penality: 0 -> 64:
 33, 30, 27, 30, 30, 27, 30, 27, 27, 30, 27, 27, 30, 27, 30, 30, 51, 33, 27, 33, 30, 30, 30, 33, 27, 33, 30, 27, 33, 30, 30, 30, 54, 30, 27, 30, 27, 27, 30, 27, 30, 30, 27, 30, 30, 27, 30, 30, 54, 27, 30, 51, 27, 30, 27, 27, 30, 27, 27, 30, 27, 27, 30, 27, 54,

Branch prediction penality: 16 -> 80:
 54, 30, 30, 30, 30, 27, 30, 30, 30, 30, 27, 33, 27, 30, 30, 30, 54, 30, 33, 27, 33, 27, 33, 30, 30, 30, 27, 27, 30, 27, 30, 30, 27, 33, 27, 51, 30, 30, 27, 27, 33, 27, 30, 27, 30, 30, 27, 30, 33, 27, 33, 27, 33, 30, 30, 30, 30, 27, 33, 27, 33, 30, 30, 30, 30,

Branch prediction penality measurement ...
only sum:            153066237
ordered: cmp + sum:  151216257
random:  cmp + sum:  258920931
zigzag 1:cmp + sum:  149655336
zigzag 2:cmp + sum:  149091594
zigzag 3:cmp + sum:  149091594
zigzag 4:cmp + sum:  146504664
Press any key to continue . . .
